Accession,Host,Species,Genus,Length,Collection_Date,Bat_host
MH726408.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28026,01/08/2014,N
MH726385.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/02/2011,N
MK690502.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,2016-03,N
MK409657.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28067,31/01/2016,N
MH581489.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28066,20/07/2017,N
MH056658.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28015,2014,N
MH061336.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,05/01/2017,N
MH061337.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,05/01/2017,N
MH061338.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28026,09/09/2017,N
MH061339.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,27/11/2017,N
MH061340.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,01/12/2017,N
MH061341.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,12/01/2018,N
MH061342.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,06/02/2018,N
MH061343.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28026,29/01/2018,N
MK250953.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,2018-02,N
MH748550.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28045,10/11/2017,N
MH593900.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28009,20/03/2018,N
MK559456.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28027,2018,N
MK559455.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28027,2014,N
MK559454.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28027,2014,N
MK482397.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28023,2018-11,N
MK482396.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28023,2018-11,N
MK841495.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2016-09,N
MK841494.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28002,2016-10,N
MN037494.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28070,18/04/2017,N
MK409659.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28060,16/06/2016,N
MK409658.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28067,23/02/2016,N
MK558089.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,04/04/2017,N
MN692787.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,11/01/2018,N
MH726384.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/02/2011,N
MH726383.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,27/02/2017,N
MH004419.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,20/02/2017,N
MH004420.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,28/02/2017,N
MH004421.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,05/11/2015,N
MH006957.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,24/07/2013,N
MH006958.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27676,30/09/2013,N
MH006959.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,30/09/2013,N
MH006960.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27676,08/11/2014,N
MH006961.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,19/07/2014,N
MH006962.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27676,20/03/2015,N
MH006963.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,13/03/2013,N
MH006964.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,19/07/2014,N
MH006965.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,24/07/2013,N
MH013462.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,13/09/2015,N
MH013463.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,21/10/2015,N
MH013464.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,21/10/2015,N
MH013465.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27667,21/06/2017,N
MH013466.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27667,21/06/2017,N
MG837011.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,21/02/2012,N
MG837012.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27412,20/01/2016,N
MH726376.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,24/03/2014,N
MH726375.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,04/06/2012,N
MH726374.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,07/06/2014,N
MH726373.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,15/06/2012,N
MH004418.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,10/02/2017,N
MH708243.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28042,01/09/2017,N
MH004417.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,10/02/2017,N
MH004415.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,19/07/2014,N
MH726382.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,18/05/2016,N
MH726381.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,06/05/2015,N
MF807951.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,19/02/2017,N
MF807952.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28046,17/02/2017,N
MH726380.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,06/06/2014,N
MH107321.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28041,16/01/2013,N
MH107322.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,05/11/2012,N
MH726379.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,28/07/2014,N
MG837058.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,31/05/2017,N
MH052681.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,2017-03,N
MH052682.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2017-07,N
MH052683.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2017-11,N
MH052684.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27999,2017-12,N
MH052685.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2017-12,N
MH052687.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2017-06,N
MH052688.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2017-05,N
MH052689.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28032,2017-04,N
MF281416.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28005,21/02/2017,N
MH726378.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,28/07/2014,N
MH726377.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,11/07/2014,N
MH004412.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27661,19/07/2016,N
MH004413.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27694,06/12/2016,N
MH004414.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27694,10/05/2017,N
MH004416.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27685,10/02/2017,N
KU893861.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28034,01/06/2013,N
MK071632.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28008,01/07/2017,N
KU893870.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28013,01/06/2015,N
KR265786.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,14/03/2014,N
LC063820.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2013-11,N
LC063819.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
LC063818.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-01,N
LC063817.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-01,N
LC063816.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-02,N
LC063815.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2013-12,N
LC063814.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2013-12,N
LC063813.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
LC063812.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
LC063811.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-03,N
LC063810.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-02,N
KT199103.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,01/06/2015,N
KU893862.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28032,01/10/2013,N
KT941120.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27966,15/10/2014,N
KU893863.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28031,01/01/2014,N
KR061458.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27986,14/01/2009,N
KU297956.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28028,03/09/2015,N
KR265846.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,18/02/2014,N
KR265845.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,04/12/2014,N
KR265844.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,30/05/2014,N
KR265785.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,13/03/2014,N
KR265784.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,25/02/2014,N
KR265783.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,14/02/2014,N
KR265782.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,16/04/2014,N
KR265761.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27979,13/11/2014,N
KR265762.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,12/12/2014,N
KR265763.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,03/01/2014,N
KR265764.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27992,18/02/2014,N
KR265765.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27996,02/04/2014,N
KR265766.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,24/04/2014,N
KR265767.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27990,31/10/2014,N
KR265768.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,11/02/2014,N
LC063821.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2013-11,N
KR265769.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,04/03/2014,N
KR265843.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27990,23/05/2014,N
KR265770.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,11/03/2014,N
KR265772.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,07/01/2014,N
KR265773.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,27/03/2014,N
KR265774.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,16/05/2014,N
KR265775.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27991,09/01/2014,N
KR265776.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,03/02/2014,N
KR265777.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,13/03/2014,N
KR265778.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,14/03/2014,N
KR265779.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27990,14/01/2014,N
KR265780.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,17/01/2014,N
KR265781.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,25/02/2014,N
MH117940.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28036,2016-03,N
KR265842.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,28/08/2014,N
KR265841.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,28/08/2014,N
KR265840.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27994,22/01/2014,N
KR265791.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,29/01/2014,N
KR265792.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27990,26/09/2014,N
KR265793.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,13/02/2014,N
KR265794.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,04/03/2014,N
KR265795.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,07/03/2014,N
KR265796.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,19/03/2014,N
KR265797.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,27/03/2014,N
KR265798.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,02/04/2014,N
KR265799.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,12/02/2014,N
KR265800.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,04/03/2014,N
KR265790.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,14/10/2014,N
KR265801.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,12/03/2014,N
KR265803.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27996,02/04/2014,N
KR265804.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,14/05/2014,N
KR265805.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,17/02/2014,N
KR265806.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,07/04/2014,N
KR265807.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,17/02/2014,N
KR265808.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,17/02/2014,N
KR265809.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,25/03/2014,N
KR265810.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,24/04/2014,N
KR265811.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,30/04/2014,N
KR265812.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,30/09/2014,N
KR265802.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,14/03/2014,N
KR265813.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,20/02/2014,N
KR265789.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,16/04/2014,N
KR265787.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,02/04/2014,N
KR265834.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27982,18/11/2014,N
KR265833.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,12/12/2014,N
KR265832.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,10/06/2014,N
KU893869.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28010,01/06/2015,N
KR265831.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,14/05/2014,N
KR265830.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,03/04/2014,N
KR265829.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,17/04/2014,N
KR265828.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,24/03/2014,N
KR265827.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,07/04/2014,N
KR265826.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,13/03/2014,N
KR265788.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27992,08/04/2014,N
KR265825.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,05/03/2014,N
KR265823.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,11/03/2014,N
KR265822.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,04/03/2014,N
KR265821.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,26/02/2014,N
KR265820.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27986,07/05/2014,N
KR265819.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,30/10/2014,N
KR265818.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,03/04/2014,N
KR265817.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,11/03/2014,N
KR265816.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,10/03/2014,N
KR265815.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,03/03/2014,N
KR265814.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27991,28/02/2014,N
KR265824.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,04/12/2014,N
KR265759.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27984,14/01/2014,N
KR265760.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27986,12/02/2014,N
KP641663.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28002,19/10/2014,N
KR153326.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,04/01/2014,N
LC063833.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
LC063832.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-05,N
LC063831.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-05,N
LC063830.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
MN692771.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,24/04/2014,N
KX981440.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28124,2016-05,N
KY019623.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28021,03/11/2015,N
KY019624.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28021,03/11/2015,N
KX066126.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2011-11,N
KU847996.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,26/07/2015,N
KX534205.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27861,25/01/2015,N
KX534206.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27930,05/01/2015,N
LC063829.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
KU664503.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27994,14/11/2013,N
MH910099.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,02/01/2013,N
KM975738.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,16/05/2013,N
KM975739.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,29/05/2013,N
KM975740.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,31/12/2013,N
KM975741.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,20/01/2014,N
MN759311.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28056,18/03/2019,N
KR153325.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27995,01/01/2014,N
KY070587.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28045,2016,N
LC063834.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
LC063835.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
KU893871.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28006,01/06/2015,N
KU893872.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28021,01/10/2015,N
KU893873.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28024,01/10/2015,N
MN692786.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,19/01/2017,N
MN692785.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,19/01/2017,N
MN692784.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,19/01/2017,N
MN692783.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,05/12/2016,N
MN692782.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,23/09/2016,N
MN692781.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,12/02/2016,N
MN692780.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,19/12/2014,N
KP403954.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27823,22/11/2014,N
LC063839.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
LC063837.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
MN692779.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,09/10/2014,N
MN692778.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,07/10/2014,N
MN692777.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,30/09/2014,N
MN692776.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,30/09/2014,N
LC063836.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2013-10,N
MN692775.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,11/07/2014,N
MN692774.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,03/06/2014,N
MN692773.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,29/04/2014,N
MN692772.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,29/04/2014,N
LC063838.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27481,2014-07,N
KU982967.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28000,21/10/2015,N
KU982966.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27994,22/10/2015,N
KU982969.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28004,21/10/2015,N
MH891585.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28027,07/02/2018,N
MH891584.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28027,06/02/2018,N
LC063824.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
KT860508.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,31/12/2013,N
MN644470.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27953,2015,N
MT090146.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28032,2018,N
MT090145.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28037,2018,N
MT843280.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27974,2019-12,N
MN971596.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28039,2018-02,N
MN971595.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2019-01,N
KU893868.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,01/08/2014,N
KU893867.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28027,01/08/2014,N
KU893866.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28043,01/06/2014,N
KU893865.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,01/03/2014,N
KU569509.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28012,02/05/2014,N
KU893864.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28039,01/03/2014,N
KM975735.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,12/09/2013,N
KM975736.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,09/12/2013,N
LC063823.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
KM975737.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/12/2013,N
LC063822.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-03,N
KP641661.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,22/04/2014,N
KP641662.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28008,14/10/2014,N
MH891586.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28024,18/04/2018,N
